sample_index,raw_value,g_value
366,137408,19.77303452579035
367,137415,19.776588985804906
368,137420,19.779127885815313
369,137420,19.779127885815313
370,137419,19.778620105813232
371,137421,19.77963566581738
372,137425,19.781666785825706
373,137425,19.781666785825706
374,137421,19.77963566581738
375,137418,19.77811232581115
376,137420,19.779127885815313
377,137424,19.781159005823625
378,137429,19.783697905834032
379,137428,19.78319012583195
380,137424,19.781159005823625
381,137417,19.77760454580907
382,137410,19.774050085794514
383,137408,19.77303452579035
384,137414,19.776081205802825
385,137423,19.780651225821543
386,137427,19.78268234582987
387,137427,19.78268234582987
388,137427,19.78268234582987
389,137429,19.783697905834032
390,137430,19.7842056858361
391,137429,19.783697905834032
392,137427,19.78268234582987
393,137424,19.781159005823625
394,137422,19.780143445819462
395,137425,19.781666785825706
396,137432,19.785221245840262
397,137437,19.78776014585067
398,137434,19.786236805844425
399,137427,19.78268234582987
400,137422,19.780143445819462
401,137423,19.780651225821543
402,137427,19.78268234582987
403,137429,19.783697905834032
404,137426,19.782174565827788
405,137419,19.778620105813232
406,137416,19.777096765806988
407,137418,19.77811232581115
408,137419,19.778620105813232
409,137415,19.776588985804906
410,137411,19.774557865796595
411,137412,19.775065645798662
412,137418,19.77811232581115
413,137425,19.781666785825706
414,137427,19.78268234582987
415,137420,19.779127885815313
416,137412,19.775065645798662
417,137410,19.774050085794514
418,137413,19.775573425800744
419,137415,19.776588985804906
420,137417,19.77760454580907
421,137417,19.77760454580907
422,137417,19.77760454580907
423,137417,19.77760454580907
424,137420,19.779127885815313
425,137423,19.780651225821543
426,137421,19.77963566581738
427,137415,19.776588985804906
428,137410,19.774050085794514
429,137413,19.775573425800744
430,137420,19.779127885815313
431,137423,19.780651225821543
432,137420,19.779127885815313
433,137416,19.777096765806988
434,137416,19.777096765806988
435,137419,19.778620105813232
436,137420,19.779127885815313
437,137418,19.77811232581115
438,137418,19.77811232581115
439,137422,19.780143445819462
440,137428,19.78319012583195
441,137432,19.785221245840262
442,137431,19.78471346583818
443,137426,19.782174565827788
444,137421,19.77963566581738
445,137419,19.778620105813232
446,137419,19.778620105813232
447,137417,19.77760454580907
448,137413,19.775573425800744
449,137411,19.774557865796595
450,137415,19.776588985804906
451,137421,19.77963566581738
452,137428,19.78319012583195
453,137429,19.783697905834032
454,137426,19.782174565827788
455,137425,19.781666785825706
456,137428,19.78319012583195
457,137428,19.78319012583195
458,137423,19.780651225821543
459,137418,19.77811232581115
460,137418,19.77811232581115
461,137420,19.779127885815313
462,137419,19.778620105813232
463,137418,19.77811232581115
464,137420,19.779127885815313
465,137425,19.781666785825706
466,137428,19.78319012583195
467,137429,19.783697905834032
468,137428,19.78319012583195
469,137422,19.780143445819462
470,137411,19.774557865796595
471,137405,19.771511185784107
472,137407,19.77252674578827
473,137414,19.776081205802825
474,137420,19.779127885815313
475,137423,19.780651225821543
476,137423,19.780651225821543
477,137422,19.780143445819462
478,137422,19.780143445819462
479,137425,19.781666785825706
480,137427,19.78268234582987
481,137428,19.78319012583195
482,137424,19.781159005823625
483,137418,19.77811232581115
484,137419,19.778620105813232
485,137427,19.78268234582987
486,137433,19.785729025842343
487,137435,19.786744585846506
488,137430,19.7842056858361
489,137420,19.779127885815313
490,137408,19.77303452579035
491,137405,19.771511185784107
492,137412,19.775065645798662
493,137420,19.779127885815313
494,137422,19.780143445819462
495,137419,19.778620105813232
496,137418,19.77811232581115
497,137421,19.77963566581738
498,137424,19.781159005823625
499,137419,19.778620105813232
500,137410,19.774050085794514
501,137410,19.774050085794514
502,137423,19.780651225821543
503,137432,19.785221245840262
504,137427,19.78268234582987
505,137421,19.77963566581738
506,137421,19.77963566581738
507,137426,19.782174565827788
508,137432,19.785221245840262
509,137434,19.786236805844425
510,137428,19.78319012583195
511,137419,19.778620105813232
512,137416,19.777096765806988
513,137418,19.77811232581115
514,137421,19.77963566581738
515,137417,19.77760454580907
516,137410,19.774050085794514
517,137409,19.773542305792432
518,137414,19.776081205802825
519,137419,19.778620105813232
520,137423,19.780651225821543
521,137426,19.782174565827788
522,137426,19.782174565827788
523,137424,19.781159005823625
524,137424,19.781159005823625
525,137427,19.78268234582987
526,137429,19.783697905834032
527,137427,19.78268234582987
528,137420,19.779127885815313
529,137413,19.775573425800744
530,137412,19.775065645798662
531,137417,19.77760454580907
532,137421,19.77963566581738
533,137423,19.780651225821543
534,137422,19.780143445819462
535,137422,19.780143445819462
536,137422,19.780143445819462
537,137423,19.780651225821543
538,137425,19.781666785825706
539,137423,19.780651225821543
540,137416,19.777096765806988
541,137411,19.774557865796595
542,137412,19.775065645798662
543,137416,19.777096765806988
544,137416,19.777096765806988
545,137411,19.774557865796595
546,137409,19.773542305792432
547,137412,19.775065645798662
548,137419,19.778620105813232
549,137425,19.781666785825706
550,137424,19.781159005823625
551,137421,19.77963566581738
552,137418,19.77811232581115
553,137417,19.77760454580907
554,137418,19.77811232581115
555,137419,19.778620105813232
556,137420,19.779127885815313
557,137421,19.77963566581738
558,137420,19.779127885815313
559,137419,19.778620105813232
560,137418,19.77811232581115
561,137419,19.778620105813232
562,137421,19.77963566581738
563,137421,19.77963566581738
564,137419,19.778620105813232
565,137420,19.779127885815313
566,137424,19.781159005823625
567,137424,19.781159005823625
568,137419,19.778620105813232
569,137417,19.77760454580907
570,137417,19.77760454580907
571,137415,19.776588985804906
572,137413,19.775573425800744
573,137414,19.776081205802825
574,137418,19.77811232581115
575,137422,19.780143445819462
576,137423,19.780651225821543
577,137421,19.77963566581738
578,137422,19.780143445819462
579,137424,19.781159005823625
580,137425,19.781666785825706
581,137423,19.780651225821543
582,137418,19.77811232581115
583,137412,19.775065645798662
584,137410,19.774050085794514
585,137413,19.775573425800744
586,137418,19.77811232581115
587,137425,19.781666785825706
588,137429,19.783697905834032
589,137430,19.7842056858361
590,137428,19.78319012583195
591,137423,19.780651225821543
592,137418,19.77811232581115
593,137416,19.777096765806988
594,137416,19.777096765806988
595,137418,19.77811232581115
596,137421,19.77963566581738
597,137422,19.780143445819462
598,137421,19.77963566581738
599,137420,19.779127885815313
600,137419,19.778620105813232
601,137419,19.778620105813232
602,137418,19.77811232581115
603,137414,19.776081205802825
604,137410,19.774050085794514
605,137409,19.773542305792432
606,137413,19.775573425800744
607,137417,19.77760454580907
608,137420,19.779127885815313
609,137423,19.780651225821543
610,137424,19.781159005823625
611,137420,19.779127885815313
612,137413,19.775573425800744
613,137405,19.771511185784107
614,137402,19.769987845777862
615,137404,19.771003405782025
616,137408,19.77303452579035
617,137413,19.775573425800744
618,137417,19.77760454580907
619,137421,19.77963566581738
620,137423,19.780651225821543
621,137423,19.780651225821543
622,137421,19.77963566581738
